id,amenity_id,beauty_salon_id
24299,1,166228
24658,1,167257
25491,1,170905
25795,1,171877
26173,1,173017
26354,1,173479
27128,1,178643
27268,1,178985
27287,1,179023
27298,1,179033
27353,1,179215
28172,1,183313
28216,1,183451
28878,1,188809
29129,1,190598
29434,1,191781
29737,1,192909
30236,1,195238
1221,1,203172
1302,1,203304
1304,1,203305
1630,1,203728
1715,1,203823
1747,1,203862
1781,1,203914
1867,1,204019
6306,1,218539
6315,1,218546
6376,1,218644
6522,1,218772
7469,1,219916
7987,1,220287
11545,1,226089
13217,1,227742
13300,1,227814
13485,1,228022
14131,1,229698
14136,1,229702
14517,1,230128
15842,1,231618
15856,1,231639
16138,1,232258
16496,1,233065
16553,1,233116
16566,1,233126
17442,1,238266
18206,1,240876
18340,1,241250
18376,1,241429
18401,1,241528
18702,1,241988
20156,1,244636
21188,1,246427
22399,1,250254
23030,1,252717
24532,1,261891
25083,1,263808
25384,384,264403
25385,1,264403
25529,1,264761
26184,1,265929
27004,1,268925
29152,1,281012
29760,1,284235
29778,1,284296
29828,1,284476
29889,1,284677
30074,1,285816
30554,1,287774
30646,1,288202
30699,1,288271
30795,1,289428
30896,1,291296
31205,1,294696
31215,1,294999
31333,1,297272
31349,1,297437
31724,1,302681
31769,1,303202
32122,1,306411
32269,1,307264
32407,1,308663
32721,1,311281
32983,1,317255
33166,1,324511
33281,1,325517
33822,1,329169
33836,1,329207
34161,1,330159
34858,1,333022
35876,1,335789
33564,1,338438
33934,1,339293
34074,1,339745
36089,1,345108
36095,1,345117
36177,1,345277
36276,1,345510
36514,1,345863
36515,1,345878
36613,1,345995
36808,1,346235
37279,1,347646
37281,1,347647
37338,1,347765
37370,1,347818
37484,1,348154
493,1,350766
1157,1,351700
1519,1,352078
2301,1,353141
2455,1,353245
3170,1,353794
7139,1,361702
8264,1,364821
8593,1,365345
8675,1,365432
10900,1,369849
11225,1,371712
12425,1,378674
13850,1,388641
14940,1,390772
19412,1,409655
19413,1,409657
19749,1,410186
20556,1,412059
20683,1,412476
21167,1,413578
21261,1,413741
21892,1,415153
22065,1,415664
22185,1,416361
22258,1,416996
22494,1,418267
22562,1,419049
22599,1,419152
22864,1,419936
24018,1,432031
24102,1,436563
24675,1,441918
24841,1,443199
24860,1,443366
24942,1,443605
